,Text,Classification
35," For many decades, we've enriched foreign industry at the expense of American industry, subsidized the armies of other countries, while allowing for the very sad depletion of our military",Democratic
36, We've defended other nation's borders while refusing to defend our own,Republican
37," And spent trillions and trillions of dollars overseas, while America's infrastructure has fallen into disrepair and decay",Republican
38," We've made other countries rich while the wealth, strength and confidence of our country has dissipated over the horizon",Non-Aligned
39," One by one, the factories shuddered and left our shores, with not even a thought about the millions and millions of American workers that were left behind",Republican
40, The wealth of our middle class has been ripped from their homes and then redistributed all across the world,Democratic
41,"But that is the past, and now we are looking only to the future",Non-Aligned
42," We assembled here today our issuing a new decree to be heard in every city, in every foreign capital, and in every hall of power, from this day forward: a new vision will govern our land, from this day forward, it's going to be only America first",Democratic
43, America first,Democratic
44,"Every decision on trade, on taxes, on immigration, on foreign affairs will be made to benefit American workers and American families",Republican
45," We must protect our borders from the ravages of other countries making our products, stealing our companies and destroying our jobs",Republican
46, Protection will lead to great prosperity and strength,Democratic
47," I will fight for you with every breath in my body, and I will never, ever let you down",Non-Aligned
48," America will start winning again, winning like never before",Democratic
49, We will bring back our jobs,Democratic
50, We will bring back our borders,Democratic
51," We will bring back our wealth, and we will bring back our dreams",Democratic
52," We will build new roads and highways and bridges and airports and tunnels, and railways, all across our wonderful nation",Republican
53," We will get our people off of welfare and back to work, rebuilding our country with American hands and American labor",Democratic
54,"We will follow two simple rules: buy American, and hire American",Democratic
55," We will seek friendship and goodwill with the nations of the world, but we do so with the understanding that it is the right of all nations to put their own interests first",Non-Aligned
56," We do not seek to impose our way of life on anyone, but rather to let it shine as an example",Republican
57, We will shine for everyone to follow,Democratic
58," We will reinforce old alliances and form new ones, and you unite the civilized world against radical Islamic terrorism, which we will eradicate completely from the face of the Earth",Democratic
59,"At the bedrock of our politics will be a total allegiance to the United States of America, and through our loyalty to our country, we will rediscover our loyalty to each other",Democratic
60," When you open your heart to patriotism, there is no room for prejudice",Non-Aligned
61," The Bible tells us, how good and pleasant it is when God's people live together in unity",Non-Aligned
62," We must speak our minds openly, debate our disagreements, but always pursue solidarity",Republican
63," When America is united, America is totally unstoppable",Democratic
64, There should be no fear,Democratic
65," We are protected, and we will always be protected",Democratic
66, We will be protected by the great men and women of our military and law enforcement,Republican
67," And most importantly, we will be protected by God",Non-Aligned
68,"Finally, we must think big and dream even bigger",Non-Aligned
69," In America, we understand that a nation is only living as long as it is striving",Non-Aligned
70," We will no longer accept politicians who are all talk and no action, constantly complaining but never doing anything about it",Democratic
71, The time for empty talk is over,Democratic
72, Now arrives the hour of action,Non-Aligned
73, Do not allow anyone to tell you that it cannot be done,Democratic
74, No challenge can match the heart and fight and spirit of America,Democratic
75, We will not fail,Democratic
76, Our country will thrive and prosper again,Non-Aligned
77,"We stand at the birth of a new millennium, ready to unlock the mysteries of space, to free the Earth from the miseries of disease and to harness the industries and technologies of tomorrow",Democratic
78," A new national pride will stir our souls, lift our sights and heal our divisions",Republican
79," It's time to remember that old wisdom our soldiers will never forget, that whether we are black, or brown, or white, we all bleed the same red blood of patriots",Republican
80," We all enjoy the same glorious freedoms, and we all salute the same, great American flag",Republican
81," And whether a child is born in the urban sprawl of Detroit or the windswept plains of Nebraska, they look up at the at the same night sky, they fill their heart with the same dreams and they are infused with the breath of life by the same almighty creator",Non-Aligned
82,"So to all Americans, in every city near and far, small and large, from mountain to mountain, from ocean to ocean, hear these words",Democratic
83, You will never be ignored again,Non-Aligned
84," Your voice, your hopes, and your dreams will define our American destiny",Democratic
85," And your courage and goodness and love, will forever guide us along the way",Non-Aligned
86," Together, we will make America strong again",Democratic
87, We will make America wealthy again,Democratic
88," We will make America proud again We will make America safe again, And yes, together, we will make we will make America great again",Democratic
89, Thank you,Non-Aligned
90, God bless you,Non-Aligned
91, And god bless America,Republican
92, Thank you,Non-Aligned
93, God bless America,Non-Aligned
94, ,Non-Aligned
