,Text,Classification
29, June the 23rd was not the moment Britainchose to step back from the world,Non-Aligned
30, It was the moment we chose to build a truly GlobalBritain,Democratic
31,I know that this - and the other reasons Britain took such a decision - is not always wellunderstood among our friends and allies in Europe,Non-Aligned
32, And I know many fear that thismight herald the beginning of a greater unravelling of the EU,Non-Aligned
33,But let me be clear: I do not want that to happen,Democratic
34, It would not be in the best interests ofBritain,Non-Aligned
35, It remains overwhelmingly and compellingly in Britain's national interest that theEU should succeed,Republican
36, And that is why I hope in the months and years ahead we will allreflect on the lessons of Britain's decision to leave,Non-Aligned
37,So let me take this opportunity to set out the reasons for our decision and to addressthe people of Europe directly,Republican
38,"It's not simply because our history and culture is profoundly internationalist, importantthough that is",Democratic
39," Many in Britain have always felt that the United Kingdom's place in the European Unioncame at the expense of our global ties, and of a bolder embrace of free trade with thewider world",Non-Aligned
40,There are other important reasons too,Democratic
41,Our political traditions are different,Republican
42," Unlike other European countries, we have no writtenconstitution, but the principle of Parliamentary Sovereignty is the basis of our unwrittenconstitutional settlement",Republican
43, We have only a recent history of devolved governance -though it has rapidly embedded itself - and we have little history of coalitiongovernment,Republican
44,"The public expect to be able to hold their governments to account very directly, and as aresult supranational institutions as strong as those created by the European Union sitvery uneasily in relation to our political history and way of life",Democratic
45,"And, while I know Britain might at times have been seen as an awkward member state,the European Union has struggled to deal with the diversitIt was a vote to restore, as we see it, our parliamentary democracy, national selfdetermination,and to become even more global and internationalist in action and inspirit",Democratic
46,"We will continue to be reliable partners, willing allies and close friends",Non-Aligned
47," We want to buyyour goods and services, sell you ours, trade with you as freely as possible, and workwith one another to make sure we are all safer, more secure and more prosperousthrough continued friendship",Republican
48,You will still be welcome in this country as we hope our citizens will be welcome inyours,Republican
49,"At a time when together we face a serious threat from our enemies, Britain's uniqueintelligence capabilities will continue to help to keep people in Europe safe fromterrorism",Republican
50,"And at a time when there is growing concern about European security, Britain'sservicemen and women, based in European countries including Estonia, Poland andRomania, will continue to do their duty",Democratic
51,"We are leaving the European Union, but we are not leaving Europe",Non-Aligned
52,"And that is why we seek a new and equal partnership - between an independent, selfgoverning,Global Britain and our friends and allies in the EU",Non-Aligned
53,"Not partial membership of the European Union, associate membership of the EuropeanUnion, or anything that leaves us half-in, half-out",Non-Aligned
54, We do not seek to adopt a modelalready enjoyed by other countries,Democratic
55, We do not seek to hold on to bits of membership aswe leave,Non-Aligned
56,"No, the United Kingdom is leaving the European Union",Non-Aligned
57, And my job is to get the rightdeal for Britain as we do,Non-Aligned
58,So today I want to outline our objectives for the negotiation ahead,Republican
59," 12 objectives thatamount to one big goal: a new, positive and constructive partnership between Britainand the European Union",Non-Aligned
60,"And as we negotiate that partnership, we will be driven by some simple principles: wewill provide as much certainty and clarity as we can at every stage",Republican
61," And we will take thisopportunity to make Britain stronger, to make Britain fairer, and to build a more GlobalBritain too",Non-Aligned
62,1,Non-Aligned
63, CertaintyThe first objective is crucial,Non-Aligned
64, We will provide certainty wherever we can,Non-Aligned
65,We are about to enter a negotiation,Republican
66, That means there will be give and take,Non-Aligned
67, There willhave to be compromises,Republican
68, It will require imagination on both sides,Non-Aligned
69, And not everybodywill be able to know everything at every stage,Non-Aligned
70,"But I recognise how important it is to provide business, the public sector, and everybodywith as much certainty as possible as we move through the process",Democratic
71,"So where we can offer that certainty, we will do so",Non-Aligned
72,That is why last year we acted quickly to give clarity about farm payments and universityfunding,Republican
73,"And it is why, as we repeal the European Communities Act, we will convert the ""acquis""- the body of existing EU law - into British law",Non-Aligned
74,This will give the country maximum certainty as we leave the EU,Democratic
75,The same rules and laws will apply on the day after Brexit as they did before,Non-Aligned
76, And it willbe for the British Parliament to decide on any changes to that law after full scrutiny andproper Parliamentary debate,Non-Aligned
77,"And when it comes to Parliament, there is one other way in which I would like to providecertainty",Non-Aligned
78," I can confirm today that the Government will put the final deal that is agreedbetween the UK and the EU to a vote in both Houses of Parliament, before it comes intoforce",Non-Aligned
79,A Stronger BritainOur second guiding principle is to build a stronger Britain,Democratic
80,2,Non-Aligned
81," Control of our own lawsThat means taking control of our own affairs, as those who voted in their millions toleave the European Union demanded we must",Democratic
82,So we will take back control of our laws and bring an end to the jurisdiction of theEuropean Court of Justice in Britain,Republican
83,"Leaving the European Union will mean that our laws will be made in Westminster,Edinburgh, Cardiff and Belfast",Democratic
84, And those laws will be interpreted by judges not inLuxembourg but in courts across this country,Republican
85,Because we will not have truly left the European Union if we are not in control of ourown laws,Republican
86,3,Non-Aligned
87, Strengthen the UnionA stronger Britain demands that we do something else - strengthen the precious unionbetween the four nations of the United Kingdom,Republican
88,"At this momentous time, it is more important than ever that we face the future together,united by what makes us strong: the bonds that unite us as a people, and our sharedinterest in the UK being an open, successful trading nation in the future",Republican
89,"And I hope that same spirit of unity will apply in Northern Ireland in particular over thecoming months in the Assembly elections, and the main parties there will work togetherto re-establish a partnership government as soon as possible",Democratic
90,"Foreign affairs are of course the responsibility of the UK Government, and in dealingwith them we act in the interests of all parts of the United Kingdom",Non-Aligned
91," As Prime Minister, Itake that responsibility seriously",Non-Aligned
92,I have also been determined from the start that the devolved administrations should befully engaged in this process,Non-Aligned
93,"That is why the Government has set up a Joint Ministerial Committee on EUNegotiations, so ministers from each of the UK's devolved administrations cancontribute to the process of planning for our departure from the European Union",Democratic
94,"We have already received a paper from the Scottish Government, and look forward toreceiving a paper from the Welsh Government shortly",Republican
95, Both papers will be consideredas part of this important process,Non-Aligned
96," We won't agree on everything, but I look forward toworking with the administrations in Scotland, Wales and Northern Ireland to deliver aBrexit that works for the whole of the United Kingdom",Non-Aligned
97,"Part of that will mean working very carefully to ensure that - as powers are repatriatedfrom Brussels back to Britain - the right powers are returned to Westminster, and theright powers are passed to the devolved administrations of Scotland, Wales andNorthern Ireland",Democratic
98,"As we do so, our guiding principle must be to ensure that - as we leave the EuropeanUnion - no new barriers to living and doing business within our own Union are created,That means maintaining the necessary common standards and frameworks for our owndomestic market, empowering the UK as an open, trading nation to strike the best tradedeals around the world, and protecting the common resources of our islands",Republican
99,"And as we do this, I should equally be clear that no decisions currently taken by thedevolved administrations will be removed from them",Democratic
100,4,Non-Aligned
101," Maintain the Common Travel Area with IrelandWe cannot forget that, as we leave, the United Kingdom will share a land border withthe EU, and maintaining that Common Travel Area with the Republic of Ireland will bean important priority for the UK in the talks ahead",Non-Aligned
102,There has been a Common Travel Area between the UK and the Republic of Ireland formany years,Non-Aligned
103," Indeed, it was formed before either of our two countries were members ofthe European Union",Republican
104,And the family ties and bonds of affection that unite our two countries mean that therewill always be a special relationship between us,Democratic
105,"So we will work to deliver a practical solution that allows the maintenance of theCommon Travel Area with the Republic, while protecting the integrity of the UnitedKingdom's immigration system",Republican
106,"Nobody wants to return to the borders of the past, so we will make it a priority to delivera practical solution as soon as we can",Republican
107,The third principle is to build a fairer Britain,Republican
108, That means ensuring it is fair to everyonewho lives and works in this country,Democratic
109,5,Non-Aligned
110, Control of immigrationAnd that is why we will ensure we can control immigration to Britain from Europe,Republican
111,We will continue to attract the brightest and the best to work or study in Britain - indeedopenness to international talent must remain one of this country's most distinctiveassets - but that process must be managed properly so that our immigration systemserves the national interest,Republican
112,So we will get control of the number of people coming to Britain from the EU,Non-Aligned
113,"Because while controlled immigration can bring great benefits - filling skills shortages,delivering public services, making British businesses the world-beaters they often are -when the numbers get too high, public support for the system falters",Democratic
114,"In the last decade or so, we have seen record levels of net migration in Britain, and thatsheer volume has put pressure on public services, like schools, stretched ourinfrastructure, especially housing, and put a downward pressure on wages for workingclass people",Republican
115,"As Home Secretary for six years, I know that you cannot control immigration overallwhen there is free movement to Britain from Europe",Democratic
116,Britain is an open and tolerant country,Non-Aligned
117," We will always want immigration, especiallyhigh-skilled immigration, we will always want immigration from Europe, and we will always welcome individual migrants as friends",Republican
118, But the message from the public beforeand during the referendum campaign was clear: Brexit must mean control of the numberof people who come to Britain from Europe,Non-Aligned
119, And that is what we will deliver,Non-Aligned
120,6,Non-Aligned
121," Rights for EU nationals in Britain, and British nationals in the EUFairness demands that we deal with another issue as soon as possible too",Democratic
122," We want toguarantee the rights of EU citizens who are already living in Britain, and the rights ofBritish nationals in other member states, as early as we can",Democratic
123,"I have told other EU leaders that we could give people the certainty they want straightaway, and reach such a deal now",Non-Aligned
124,Many of them favour such an agreement - one or two others do not - but I wanteveryone to know that it remains an important priority for Britain - and for many othermember states - to resolve this challenge as soon as possible,Republican
125, Because it is the rightand fair thing to do,Non-Aligned
126,7,Non-Aligned
127, Protect workers' rightsAnd a fairer Britain is a country that protects and enhances the rights people have atwork,Democratic
128,"That is why, as we translate the body of European law into our domestic regulations, wewill ensure that workers rights are fully protected and maintained",Non-Aligned
129,"Indeed, under my leadership, not only will the Government protect the rights of workers'set out in European legislation, we will build on them",Republican
130," Because under this ConservativeGovernment, we will make sure legal protection for workers keeps pace with thechanging labour market - and that the voices of workers are heard by the boards ofpublicly-listed companies for the first time",Democratic
131,But the great prize for this country - the opportunity ahead - is to use this moment tobuild a truly Global Britain,Republican
132, A country that reaches out to old friends and new allies alike,Non-Aligned
133,"A great, global, trading nation",Republican
134, And one of the firmest advocates for free trade anywherein the world,Non-Aligned
135,8,Non-Aligned
136, Free trade with European marketsThat starts with our close friends and neighbours in Europe,Non-Aligned
137," So as a priority, we willpursue a bold and ambitious Free Trade Agreement with the European Union",Republican
138,This agreement should allow for the freest possible trade in goods and servicesbetween Britain and the EU's member states,Republican
139, It should give British companies themaximum freedom to trade with and operate within European markets - and letEuropean businesses do the same in Britain,Non-Aligned
140,But I want to be clear,Democratic
141, What I am proposing cannot mean membership of the SingleMarket,Non-Aligned
142,"European leaders have said many times that membership means accepting the ""fourfreedoms"" of goods, capital, services and people",Democratic
143,"And being out of the EU but a member of the Single Market would mean complying withthe EU's rules and regulations that implement those freedoms, without having a vote onwhat those rules and regulations are",Republican
144,It would mean accepting a role for the European Court of Justice that would see it stillhaving direct legal authority in our country,Democratic
145,It would to all intents and purposes mean not leaving the EU at all,Non-Aligned
146,And that is why both sides in the referendum campaign made it clear that a vote toleave the EU would be a vote to leave the Single Market,Democratic
147,So we do not seek membership of the Single Market,Non-Aligned
148," Instead we seek the greatestpossible access to it through a new, comprehensive, bold and ambitious Free TradeAgreement",Democratic
149,"That Agreement may take in elements of current Single Market arrangements in certainareas - on the export of cars and lorries for example, or the freedom to provide financialservices across national borders - as it makes no sense to start again from scratchwhen Britain and the remaining Member States have adhered to the same rules for somany years",Republican
150,"But I respect the position taken by European leaders who have been clear about theirposition, just as I am clear about mine",Democratic
151,"So an important part of the new strategic partnership we seek with the EU will be thepursuit of the greatest possible access to the Single Market, on a fully reciprocal basis,through a comprehensive Free Trade Agreement",Republican
152,"And because we will no longer be members of the Single Market, we will not berequired to contribute huge sums to the EU budget",Non-Aligned
153,There may be some specific European programmes in which we might want toparticipate,Non-Aligned
154," If so, and this will be for us to decide, it is reasonable that we should makean appropriate contribution",Democratic
155, But the principle is clear: the days of Britain making vastcontributions to the European Union every year will end,Democratic
156,9,Non-Aligned
157, New trade agreements with other countriesBut it is not just trade with the EU we should be interested in,Non-Aligned
158, A Global Britain must befree to strike trade agreements with countries from outside the European Union too,Republican
159,"Because important though our trade with the EU is and will remain, it is clear that theUK needs to increase significantly its trade with the fastest growing export markets inthe world",Republican
160,"Since joining the EU, trade as a percentage of GDP has broadly stagnated in the UK",Non-Aligned
161,"That is why it is time for Britain to get out into the world and rediscover its role as agreat, global, trading nation",Republican
162,"This is such a priority for me that when I became Prime Minister I established, for thefirst time, a Department for International Trade, led by Liam Fox",Non-Aligned
163,"We want to get out into the wider world, to trade and do business all around the globe",Republican
164,"Countries including China, Brazil, and the Gulf States have already expressed theirinterest in striking trade deals with us",Democratic
165,"We have started discussions on future trade ties with countries like Australia, NewZealand and India",Non-Aligned
166,"And President Elect Trump has said Britain is not ""at the back of the queue"" for a tradedeal with the United States, the world's biggest economy, but front of the line",Democratic
167,I know my emphasis on striking trade agreements with countries outside Europe has ledto questions about whether Britain seeks to remain a member of the EU's CustomsUnion,Republican
168, And it is true that full Customs Union membership prevents us from negotiatingour own comprehensive trade deals,Republican
169,"Now, I want Britain to be able to negotiate its own trade agreements",Republican
170, But I also wanttariff-free trade with Europe and cross-border trade there to be as frictionless aspossible,Non-Aligned
171,That means I do not want Britain to be part of the Common Commercial Policy and I donot want us to be bound by the Common External Tariff,Republican
172, These are the elements of theCustoms Union that prevent us from striking our own comprehensive trade agreementswith other countries,Democratic
173, But I do want us to have a customs agreement with the EU,Non-Aligned
174,"Whether that means we must reach a completely new customs agreement, become anassociate member of the Customs Union in some way, or remain a signatory to someelements of it, I hold no preconceived position",Republican
175, I have an open mind on how we do it,Non-Aligned
176," Itis not the means that matter, but the ends",Democratic
177,And those ends are clear: I want to remove as many barriers to trade as possible,Republican
178," And Iwant Britain to be free to establish our own tariff schedules at the World Trade Organisation, meaning we can reach new trade agreements not just with the EuropeanUnion but with old friends and new allies from outside Europe too",Non-Aligned
179,10,Non-Aligned
180, The best place for science and innovationA Global Britain must also be a country that looks to the future,Non-Aligned
181, That means being oneof the best places in the world for science and innovation,Non-Aligned
182,"One of our great strengths as a nation is the breadth and depth of our academic andscientific communities, backed up by some of the world's best universities",Non-Aligned
183, And we havea proud history of leading and supporting cutting-edge research and innovation,Republican
184,"So we will also welcome agreement to continue to collaborate with our Europeanpartners on major science, research, and technology initiatives",Non-Aligned
185,"From space exploration to clean energy to medical technologies, Britain will remain atthe forefront of collective endeavours to better understand, and make better, the worldin which we live",Non-Aligned
186,11,Non-Aligned
187," Cooperation in the fight against crime and terrorismAnd a Global Britain will continue to cooperate with its European partners in importantareas such as crime, terrorism and foreign affairs",Republican
188,"All of us in Europe face the challenge of cross-border crime, a deadly terrorist threat,and the dangers presented by hostile states",Republican
189," All of us share interests and values incommon, values we want to see projected around the world",Democratic
190,"With the threats to our common security becoming more serious, our response cannotbe to cooperate with one another less, but to work together more",Democratic
191, I therefore want ourfuture relationship with the European Union to include practical arrangements onmatters of law enforcement and the sharing of intelligence material with our EU allies,Republican
192,I am proud of the role Britain has played and will continue to play in promoting Europe'ssecurity,Non-Aligned
193," Britain has led Europe on the measures needed to keep our continent secure -whether it is implementing sanctions against Russia following its action in Crimea,working for peace and stability in the Balkans, or securing Europe's external border",Republican
194, Wewill continue to work closely with our European allies in foreign and defence policy evenas we leave the EU itself,Republican
195,12,Non-Aligned
196," A smooth, orderly BrexitThese are our objectives for the negotiation ahead - objectives that will help to realiseour ambition of shaping that stronger, fairer, Global Britain that we want to see",Republican
197,"They are the basis for a new, strong, constructive partnership with the European Union -a partnership of friends and allies, of interests and values",Non-Aligned
198, A partnership for a strong EUand a strong UK,Non-Aligned
199,But there is one further objective we are setting,Non-Aligned
200," For as I have said before - it is in noone's interests for there to be a cliff-edge for business or a threat to stability, as wechange from our existing relationship to a new partnership with the EU",Non-Aligned
201,"By this, I do not mean that we will seek some form of unlimited transitional status, inwhich we find ourselves stuck forever in some kind of permanent political purgatory",Democratic
202,"That would not be good for Britain, but nor do I believe it would be good for the EU",Non-Aligned
203,"Instead, I want us to have reached an agreement about our future partnership by thetime the two-year Article Fifty process has concluded",Non-Aligned
204,"From that point onwards, we believe a phased process of implementation, in which bothBritain and the EU institutions and member states prepare for the new arrangementsthat will exist between us will be in our mutual self-interest",Democratic
205, This will give businessesenough time to plan and prepare for those new arrangements,Democratic
206,"This might be about our immigration controls, customs systems or the way in which wecooperate on criminal justice matters",Democratic
207, Or it might be about the future legal andregulatory framework for financial services,Democratic
208," For each issue, the time we need to phaseinthe new arrangements may differ",Non-Aligned
209," Some might be introduced very quickly, somemight take longer",Non-Aligned
210, And the interim arrangements we rely upon are likely to be a matterof negotiation,Democratic
211,"But the purpose is clear: we will seek to avoid a disruptive cliff-edge, and we will doeverything we can to phase in the new arrangements we require as Britain and the EUmove towards our new partnership",Democratic
212,"So, these are the objectives we have set",Non-Aligned
213, Certainty wherever possible,Non-Aligned
214, Control of ourown laws,Non-Aligned
215, Strengthening the United Kingdom,Non-Aligned
216, Maintaining the Common Travel Areawith Ireland,Non-Aligned
217,Control of immigration,Republican
218," Rights for EU nationals in Britain, and British nationals in the EU",Non-Aligned
219,Enhancing rights for workers,Democratic
220, Free trade with European markets,Non-Aligned
221, New tradeagreements with other countries,Democratic
222, A leading role in science and innovation,Non-Aligned
223," Cooperationon crime, terrorism and foreign affairs",Republican
224," And a phased approach, delivering a smooth andorderly Brexit",Non-Aligned
225,This is the framework of a deal that will herald a new partnership between the UK andthe EU,Non-Aligned
226,"It is a comprehensive and carefully considered plan that focuses on the ends, not justthe means - with its eyes fixed firmly on the future, and on the kind of country we will beonce we leave",Democratic
227,It reflects the hard work of many in this room today who have worked tirelessly to bringit together and to prepare this country for the negotiation ahead,Democratic
228,"And it will, I know, be debated and discussed at length",Democratic
229, That is only right,Non-Aligned
230," But those whourge us to reveal more - such as the blow-by-blow details of our negotiating strategy,the areas in which we might compromise, the places where we think there are potentialtrade-offs - will not be acting in the national interest",Republican
231,Because this is not a game or a time for opposition for opposition's sake,Non-Aligned
232, It is a crucialand sensitive negotiation that will define the interests and the success of our country formany years to come,Republican
233, And it is vital that we maintain our discipline,Non-Aligned
234,That is why I have said before - and will continue to say - that every stray word andevery hyped up media report is going to make it harder for us to get the right deal forBritain,Democratic
235,"Our opposite numbers in the European Commission know it, which is why they arekeeping their discipline",Non-Aligned
236," And the ministers in this Government know it too, which is whywe will also maintain ours",Non-Aligned
237,"So however frustrating some people find it, the Government will not be pressured intosaying more than I believe it is in our national interest to say",Democratic
238," Because it is not my job tofill column inches with daily updates, but to get the right deal for Britain",Republican
239, And that is whatI intend to do,Non-Aligned
240,I am confident that a deal - and a new strategic partnership between the UK and the EU- can be achieved,Non-Aligned
241,"This is firstly because, having held conversations with almost every leader from everysingle EU member state; having spent time talking to the senior figures from theEuropean institutions, including President Tusk, President Juncker, and PresidentSchulz; and after my Cabinet colleagues David Davis, Philip Hammond and BorisJohnson have done the same with their interlocutors, I am confident that the vastmajority want a positive relationship between the UK and the EU after Brexit",Democratic
242,And I am confident that the objectives I am setting out today are consistent with theneeds of the EU and its Member States,Republican
243,"That is why our objectives include a proposed Free Trade Agreement between Britainand the European Union, and explicitly rule out membership of the EU's Single Market",Republican
244," Because when the EU's leaders say they believe the four freedoms of the Single Marketare indivisible, we respect that position",Democratic
245," When the 27 Member States say they want tocontinue their journey inside the European Union, we not only respect that fact butsupport it",Democratic
246,"Because we do not want to undermine the Single Market, and we do not want toundermine the European Union",Democratic
247, We want the EU to be a success and we want itsremaining member states to prosper,Republican
248, And of course we want the same for Britain,Non-Aligned
249,And the second reason I believe it is possible to reach a good deal is that the kind ofagreement I have described today is the economically rational thing that both Britainand the EU should aim for,Democratic
250, Because trade is not a zero sum game: more of it makes usall more prosperous,Non-Aligned
251,"Free trade between Britain and the European Union means more trade, and more trademeans more jobs and more wealth creation",Republican
252," The erection of new barriers to trade,meanwhile, means the reverse: less trade, fewer jobs, lower growth",Republican
253,The third and final reason I believe we can come to the right agreement is thatcooperation between Britain and the EU is needed not just when it comes to trade butwhen it comes to our security too,Republican
254,Britain and France are Europe's only two nuclear powers,Democratic
255, We are the only twoEuropean countries with permanent seats on the United Nations Security Council,Republican
256,Britain's armed forces are a crucial part of Europe's collective defence,Non-Aligned
257,And our intelligence capabilities - unique in Europe - have already saved countless livesin very many terrorist plots that have been thwarted in countries across our continent,Republican
258,"After Brexit, Britain wants to be a good friend and neighbour in every way, and thatincludes defending the safety and security of all of our citizens",Non-Aligned
259,So I believe the framework I have outlined today is in Britain's interests,Non-Aligned
260, It is in Europe'sinterests,Non-Aligned
261, And it is in the interests of the wider world,Non-Aligned
262,But I must be clear,Democratic
263, Britain wants to remain a good friend and neighbour to Europe,Non-Aligned
264, YetI know there are some voices calling for a punitive deal that punishes Britain anddiscourages other countries from taking the same path,Democratic
265,That would be an act of calamitous self-harm for the countries of Europe,Republican
266, And it wouldnot be the act of a friend,Non-Aligned
267,Britain would not - indeed we could not - accept such an approach,Non-Aligned
268, And while I amconfident that this scenario need never arise - while I am sure a positive agreement canbe reached - I am equally clear that no deal for Britain is better than a bad deal forBritain,Democratic
269,Because we would still be able to trade with Europe,Non-Aligned
270, We would be free to strike tradedeals across the world,Democratic
271, And we would have the freedom to set the competitive tax ratesand embrace the policies that would attract the world's best companies and biggestinvestors to Britain,Republican
272,And - if we were excluded from accessing the Single Market - we would be free tochange the basis of Britain's economic model,Non-Aligned
273,"But for the EU, it would mean new barriers to trade with one of the biggest economies inthe world",Republican
274, It would jeopardise investments in Britain by EU companies worth more thanhalf a trillion pounds,Non-Aligned
275, It would mean a loss of access for European firms to the financialservices of the City of London,Non-Aligned
276,It would risk exports from the EU to Britain worth around £290 billion every year,Non-Aligned
277, And itwould disrupt the sophisticated and integrated supply chains upon which many EUcompanies rely,Democratic
278,Important sectors of the EU economy would also suffer,Democratic
279,"We are a crucial - profitable - export market for Europe's automotive industry, as well assectors including energy, food and drink, chemicals, pharmaceuticals, and agriculture",Non-Aligned
280,These sectors employ millions of people around Europe,Democratic
281,"And I do not believe that the EU's leaders will seriously tell German exporters, Frenchfarmers, Spanish fishermen, the young unemployed of the Eurozone, and millions ofothers, that they want to make them poorer, just to punish Britain and make a politicalpoint",Republican
282,For all these reasons - and because of our shared values and the spirit of goodwill thatexists on both sides - I am confident that we will follow a better path,Democratic
283, I am confident thata positive agreement can be reached,Republican
284,It is right that the Government should prepare for every eventuality - but to do so in theknowledge that a constructive and optimistic approach to the negotiations to come is inthe best interests of Europe and the best interests of Britain,Republican
285,"We do not approach these negotiations expecting failure, but anticipating success",Republican
286,"Because we are a great, global nation with so much to offer Europe and so much tooffer the world",Republican
287,One of the world's largest and strongest economies,Democratic
288," With the finest intelligenceservices, the bravest armed forces, the most effective hard and soft power, andfriendships, partnerships and alliances in every continent",Democratic
289,And another thing that's important,Non-Aligned
290, The essential ingredient of our success,Non-Aligned
291, Thestrength and support of 65 million people willing us to make it happen,Democratic
292,"Because after all the division and discord, the country is coming together",Democratic
293,The referendum was divisive at times,Non-Aligned
294, And those divisions have taken time to heal,Democratic
295,"But one of the reasons that Britain's democracy has been such a success for so manyyears is that the strength of our identity as one nation, the respect we show to oneanother as fellow citizens, and the importance we attach to our institutions means thatwhen a vote has been held we all respect the result",Democratic
296,The victors have the responsibility to act magnanimously,Republican
297, The losers have theresponsibility to respect the legitimacy of the outcome,Democratic
298, And the country comes together,Democratic
299,And that is what we are seeing today,Non-Aligned
300," Business isn't calling to reverse the result, butplanning to make a success of it",Republican
301, The House of Commons has voted overwhelmingly forus to get on with it,Democratic
302, And the overwhelming majority of people - however they voted -want us to get on with it too,Democratic
303,So that is what we will do,Non-Aligned
304,"Not merely forming a new partnership with Europe, but building a stronger, fairer, moreGlobal Britain too",Democratic
305,And let that be the legacy of our time,Democratic
306, The prize towards which we work,Non-Aligned
307, The destinationat which we arrive once the negotiation is done,Non-Aligned
308,"And let us do it not for ourselves, but for those who follow",Democratic
309, For the country's childrenand grandchildren too,Democratic
310,"So that when future generations look back at this time, they will judge us not only by thedecision that we made, but by what we made of that decision",Democratic
311,They will see that we shaped them a brighter future,Non-Aligned
312,They will know that we built them a better Britain,Non-Aligned
313,"""",Non-Aligned
